OTUID	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
ASV_1445	0	1	5	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	3	0	0	0	1	1	0	1	6	2	4	3	2	2	0	0	2	0	0	0
ASV_1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	4	1	0	1	2	9	4	2	4	1	0	2	1
ASV_1050	1	0	1	2	0	2	0	0	2	0	1	1	0	0	0	7	2	2	0	1	1	0	2	1	0	1	3	3	2	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1
ASV_1142	1	0	2	9	1	0	3	0	4	2	2	0	1	0	1	2	0	0	0	0	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	1	0	0
ASV_1166	0	1	0	1	1	0	0	0	0	0	1	0	0	1	3	1	2	1	0	2	1	3	1	2	0	0	1	0	0	2	0	0	2	1	1	0	0	0	0	2	1	4	1	3	2
ASV_1207	6	1	1	0	2	1	3	0	1	3	0	2	1	2	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	1	0	3	4	2	0	0	1	0	1	0	0	0	0	0
ASV_1217	0	0	10	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	8	4	3	0	0	0	0	0	0	0	0
ASV_1220	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	6	4	5	3	3	1	4	1	2	2	4
ASV_1340	0	0	1	3	0	0	0	0	0	0	1	1	1	0	1	2	0	1	1	1	1	3	1	2	0	1	1	1	0	1	0	1	0	1	1	1	3	3	1	1	2	2	1	0	0
ASV_1374	1	0	0	1	0	0	0	1	3	0	1	0	0	3	0	2	1	1	0	0	1	1	1	2	0	0	2	1	0	1	0	2	2	0	1	1	0	2	3	1	0	4	0	2	0
ASV_1437	2	0	0	0	0	0	0	2	0	2	0	2	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	1	4	0	0	2	1	2	0	1	3	2	1	0	2	1	5
ASV_1447	1	0	1	2	0	1	0	1	1	1	1	2	1	1	0	1	1	1	0	0	1	2	1	0	0	1	1	1	1	0	2	0	0	0	0	2	0	0	4	0	3	3	1	1	1
ASV_1593	4	1	0	1	0	0	0	4	0	1	2	1	0	0	3	0	1	0	2	0	0	2	0	1	0	1	0	0	0	0	0	2	0	1	0	0	1	3	1	1	3	2	0	1	2
ASV_1248	2	0	0	3	1	0	0	1	0	2	1	0	1	0	0	0	0	0	3	0	0	1	1	2	0	0	0	0	0	0	2	0	0	2	5	1	2	2	2	3	1	0	0	1	1
ASV_1343	0	0	3	0	0	0	0	0	2	1	1	0	1	0	0	1	0	2	1	0	0	2	0	0	1	2	1	0	1	1	1	0	1	1	1	2	2	2	3	3	1	0	0	2	1
