OTUID	ANC	BMD	CLMAT	DHMAT
ASV_153	0.07394522	0.08261379	0.14565604	0.11295334
ASV_193	0.03448553	0.09954670	0.09026750	0.17596193
ASV_201	0.21829630	0.04218086	0.02303033	0.10016050
ASV_175	0.03810846	0.08249424	0.15860408	0.12732984
ASV_264	0.30087409	0.03184917	0.04092495	0.02088051
ASV_266	0.18320901	0.03354968	0.14403981	0.04138629
ASV_165	0.15384398	0.06915530	0.10391638	0.08260144
ASV_196	0.07376407	0.11882092	0.09915409	0.09536978
ASV_197	0.001805821	0.202169444	0.011040221	0.169722600
ASV_208	0.330751882	0.007366426	0.008098218	0.014445101
ASV_158	0.01630590	0.10764069	0.18445679	0.06991196
ASV_171	0.04354298	0.11559551	0.11648981	0.11247468
ASV_235	0.12836768	0.15665229	0.07013480	0.02909591
ASV_1368	0.07564629	0.11079406	0.06494613	0.13060608
ASV_979	0.05028671	0.03949971	0.19014479	0.10050633
ASV_180	0.12353752	0.08020679	0.08206650	0.09758602
ASV_1427	0.06722218	0.19489872	0.02926561	0.08012272
ASV_191	0.20026141	0.07647272	0.05680450	0.05247095
ASV_194	0.01964737	0.13952116	0.07606605	0.13056679
ASV_161	0.351430975	0.012851605	0.007804044	0.014151635
ASV_190	0.21842291	0.10003402	0.01509011	0.04377623
ASV_184	0.08430467	0.13189392	0.07025109	0.07676678
ASV_144	0.04920764	0.11997105	0.11528946	0.07997826
ASV_231	0.02005523	0.06059328	0.29053741	0.01554400
ASV_209	0.10362915	0.14050149	0.06169033	0.04524838
ASV_181	0.0003388636	0.0031214566	0.0008761689	0.3363154612
ASV_176	0.3440036397	0.0016096136	0.0009047964	0.0010638904
ASV_178	0.05103164	0.11755737	0.09569487	0.08062958
ASV_185	0.005768179	0.146192416	0.056014944	0.137783387
ASV_203	0.02954233	0.11025151	0.10496495	0.10120869
ASV_1405	0.008029192	0.174876191	0.069698728	0.086107890
ASV_169	0.01355307	0.13671725	0.16497583	0.03131049
