OTUID	HDA	HDB	HDC	MDA	MDB	MDC	NCA	NCB	NCC
ASV_184	0.12289541	0.05896357	0.07039954	0.10400125	0.05245059	0.06751773	0.16488064	0.12679289	0.12426033
ASV_179	0.10593277	0.08078714	0.18447233	0.16440929	0.13033829	0.09491298	0.03528449	0.03027611	0.07752648
ASV_1054	0.241325264	0.093008583	0.002891692	0.122952573	0.101034247	0.007765407	0.234219414	0.092531506	0.001488830
ASV_169	0.185286243	0.237828574	0.157159459	0.083234030	0.190378200	0.024533523	0.006757295	0.012550452	0.013331583
ASV_168	0.0010750184	0.0039987312	0.0018348320	0.0014680329	0.0058939333	0.0003988195	0.3957746761	0.3876762858	0.0634059642
ASV_800	0.07341627	0.12123012	0.11728674	0.11493195	0.14564067	0.06816891	0.03004643	0.09461740	0.11680979
ASV_1582	0.04363507	0.13039789	0.13431492	0.05609887	0.08658291	0.05404042	0.07268810	0.16097370	0.13332337
ASV_573	0.04338700	0.16111635	0.42048455	0.06278282	0.07333099	0.02384661	0.01468944	0.03339126	0.04225889
ASV_240	0.008769621	0.040450755	0.060747029	0.015833777	0.113662276	0.044233007	0.088615613	0.229685268	0.254905059
ASV_219	0.428236929	0.157477905	0.095018889	0.046285850	0.017389205	0.003997344	0.036708017	0.042792949	0.029115576
ASV_268	0.15023278	0.12363582	0.03888112	0.15440614	0.10265212	0.04148394	0.15135222	0.07292158	0.01246073
ASV_246	0.002159932	0.002525173	0.001800568	0.003298573	0.002989535	0.027927388	0.541920234	0.119207044	0.120045708
ASV_1318	0.01903270	0.04559107	0.11394351	0.02993012	0.03389719	0.28318249	0.15339447	0.03952970	0.11624083
