OTUID	All	HDC	MDC	NCC
ASV_1031	0.056975	0.02139944	0.03027016	0.11925538
ASV_156	0.058399	0.005775383	0.005169353	0.164253538
ASV_131	0.058401	0.05374292	0.06958674	0.05187343
ASV_1364	0.058401	0.063606245	0.104133220	0.007463367
ASV_349	0.05732	0.06306275	0.09526343	0.01363282
ASV_279	0.05724	0.03787952	0.07838444	0.05545506
ASV_297	0.057054	0.010651157	0.007937813	0.152573558
ASV_549	0.05676	0.12128226	0.02888150	0.02011509
ASV_376	0.057127	0.005675984	0.001790699	0.163915122
ASV_1238	0.057804	0.018090825	0.147109182	0.008212598
ASV_446	0.055978	0.01059026	0.00413233	0.15321084
ASV_1614	0.054504	0.076810013	0.081123495	0.005577825
ASV_450	0.055586	0.09261003	0.05910257	0.01504532
ASV_443	0.056556	0.001868488	0.000000000	0.167800891
ASV_988	0.057298	0.004955920	0.003543476	0.163395828
ASV_230	0.055669	0.008500591	0.019516287	0.138990549
ASV_47	0.055949	0.06607590	0.07368129	0.02808890
ASV_556	0.055117	0.064552329	0.004449496	0.096349583
ASV_265	0.054872	0.07240651	0.01683680	0.07537359
ASV_1569	0.056216	0.0951516075	0.0728854292	0.0006099421
ASV_537	0.053996	0.083250833	0.009098285	0.069638447
ASV_250	0.05327	0.096123710	0.056193607	0.007491225
ASV_487	0.054947	0.02010576	0.03921874	0.10551674
ASV_483	0.05533	0.065294553	0.096391236	0.004304612
ASV_422	0.053395	0.00122857	0.00000000	0.15895785
ASV_233	0.052577	0.105850760	0.049435466	0.002444541
ASV_299	0.052565	0.132498438	0.023337682	0.001860071
ASV_382	0.052402	0.02081306	0.05250516	0.08388722
ASV_546	0.051329	0.001807595	0.001752777	0.150426600
ASV_45	0.050356	0.009300801	0.009931910	0.131835505
ASV_1022	0.04988	0.01286786	0.06693501	0.06983575
ASV_434	0.052245	0.0006495447	0.0018458577	0.1542409046
ASV_1439	0.052182	0.151618948	0.001236317	0.003689897
ASV_285	0.050292	0.07093328	0.02183723	0.05810654
ASV_283	0.048945	0.139471649	0.005503101	0.001860071
ASV_950	0.049548	0.01728326	0.04664567	0.08471428
ASV_318	0.049224	0.03479209	0.01336852	0.09951205
ASV_323	0.048232	0.03618494	0.05805389	0.05045592
ASV_429	0.048591	0.01937607	0.02572136	0.10067641
ASV_145	0.049161	0.04054697	0.07233517	0.03460166
ASV_288	0.048324	0.004316002	0.008471508	0.132185941
ASV_449	0.049461	0.001878115	0.000000000	0.146503733
ASV_263	0.047716	0.05842953	0.05819245	0.02652596
ASV_538	0.048044	0.0012990893	0.0006095405	0.1422224214
ASV_395	0.046627	0.05029407	0.06213598	0.02745110
ASV_330	0.047773	0.06551887	0.04561471	0.03218658
ASV_247	0.049415	0.01422995	0.13151735	0.00249787
ASV_569	0.046448	0.04403286	0.03818106	0.05713104
ASV_343	0.046353	0.004264736	0.004779793	0.130014662
ASV_370	0.043756	0.043708981	0.086335561	0.001222271
ASV_107	0.045404	0.097473203	0.009707825	0.029030990
ASV_245	0.046939	0.04822723	0.05934653	0.03324409
ASV_267	0.04549	0.02935193	0.03148579	0.07563147
