Species	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Sellimonas|Unassigned	0.639678980290334	0.012539499423183	0.00976419469804228	2.32736572890026	0.00996884735202492	0.0185499258002968	0.480270302884035	0.00482625482625483	0.220498783454988	0.199531962064294	0.00298659020995729	0.0248508946322068	0.00790847261032319	0.613860934255266	0.048692264885921	0.135869565217391	0.0301636377347108	0.267789896510363	0.012047321880346	0.415829041940903	0.00694203401596668	0.356993377157348	0.0122744568552842
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Stomatobaculum|Unassigned	0.342263661040954	0.386216582234037	4.0423766049895	0.227621483375959	0.139563862928349	0.312698749205003	0.552672861107759	0.663610038610039	0.0709651257096513	0.0739007266904791	0.268793118896156	0.31176576902223	0.100173986397427	0.474658268866525	0.231867928028195	0.203804347826087	0.216172737098761	0.114368601634634	0.277088403247958	0.225814446616914	0.1666088163832	0.184651746805525	0.184116852829262
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Syntrophococcus|Unassigned	0.120382391124749	0.0727290966544615	0	0.163682864450128	0.00498442367601246	0.0026499894000424	0.00241341860745746	0	0	0.120704520261116	0.0179195412597437	0.051960961503705	0	0	0	0	0	0	0	0.00275383471484042	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Unassigned|Unassigned	30.6880679806444	17.7007573857652	9.09046526387736	25.8849104859335	7.35700934579439	15.0545897816409	12.0670930372873	13.6003861003861	25.1089821573398	24.1556841975613	9.24349669981782	20.334809325863	4.88743607317973	7.42338148376349	4.52374327583009	11.1014805097451	6.4927230223965	13.5875477698123	22.6610124569308	14.1684796078539	3.26738401018165	11.2169781126129	7.77218608076593
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae_1|Desulfitobacterium|Unassigned	0.0613714150832055	0.0777448964237348	0.0976419469804228	0.00255754475703325	0.00249221183800623	0	0.00724025582237239	0.00241312741312741	0.0633617193836172	0.00492671511269861	0.20906131469701	0.17847460690403	0.052723150735488	0.212227014445129	0.0881098126507142	0.0281109445277361	0.10808636854938	0.00278947808864961	0.0024094643760692	0.00550766942968083	0.499826449149601	0	0.00245489137105683
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae_2|Pelotomaculum|Unassigned	0.219520830874543	0.198124090886292	0.175755504564761	0.240409207161125	0.229283489096573	0.0900996396014416	0.234101604923374	0.253378378378378	0.16220600162206	0.135484665599212	0.0119463608398292	0.00225917223929152	0.205620287868403	0.205380981721093	0.197087738823966	0.0609070464767616	0.155845461629339	0.0613685179502915	0.134930005059875	0.101891884449095	0.0115700566932778	0.0812467685944309	0.137473916779183
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Romboutsia|Unassigned	0.434320783665762	0.403771881426493	0.436947712737392	0.485933503836317	1.12398753894081	2.85933856264575	0.480270302884035	0.56949806949807	1.45225060827251	0.913905653405592	0.836245258788042	0.332098319175854	1.74777244688143	0.759909632368043	1.62539417547765	1.86235007496252	0.384586381117563	7.00437948059918	1.37821362311158	1.22270261338914	0.57850283466389	1.87852377083487	3.33865226463729
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Acetivibrio|Unassigned	0.420158149415791	0.0376184982695491	0.273397451545184	0.0716112531969309	0.0623052959501558	0.423998304006784	0.528538675033184	0.760135135135135	0.32441200324412	0.0344870057888903	1.32305946301108	0.670974155069583	0.026361575367744	0.141484676296753	0.104340567612688	2.54169790104948	0.0703818213809919	0.401684844765544	0.238536973230851	0.448875058518988	0.0370241814184889	0.241278282492552	0.702098932122253
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Acutalibacter|Unassigned	0.110940634958102	0.00250789988463661	0.0122052433725528	0.0792838874680307	0.239252336448598	0.0026499894000424	0.294437070109811	0.518822393822394	0.296532846715328	0.0123167877817465	0.173222232177523	0.0700343394180372	0.171350239890336	0.600168868807193	0.248098682990169	0.468515742128936	0.346881833949174	0.0948422550140869	0.192757150085536	0.0908765455897337	0.0601642948050445	0.110791048083315	0.176752178716092
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaeromassilibacillus|Unassigned	0.037767024666588	0	0.0219694380705951	0.0383631713554987	0.0224299065420561	0.0317998728005088	0.0386146977193194	0.028957528957529	0.0152068126520681	0.0147801453380958	0.0418122629394021	0.0587384782215796	0.0105446301470976	0.0753063599644006	0.0370988684845112	0.0117128935532234	0.0150818188673554	0.0167368685318977	0.0337325012649688	0.0165230082890425	0.0370241814184889	0.0172341630351823	0.0319135878237388
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus|Unassigned	0.48625044258232	0.571801173697146	0.119611385051018	0.388746803069054	0.398753894080997	0.304748781004876	0.366839628333534	0.7746138996139	0.479014598540146	0.182288459169849	0.388256727294448	0.210103018254112	0.427057520957452	0.20309897081308	0.129846039695789	0.119471514242879	0.261418193700827	0.153421294875729	0.163843577572706	0.178999256464627	0.319333564734467	0.285594701725878	0.135019025408126
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Butyricicoccus|Unassigned	0.056650536999882	0.127902894116467	0.17087340721574	0.122762148337596	0.166978193146417	0.151049395802417	0.154458790877278	0.487451737451737	0.144464720194647	0.17736174405715	0.125436788818206	0.0632568227001627	0.105446301470976	0.44727413797038	0.19013170098312	0.0210832083958021	0.153331825151447	0.128315992077882	0.0554176806495916	0.156968578745904	0.118014578271434	0.0910948617573922	0.0883760893580459
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Clostridium_IV|Unassigned	0.804909713206656	0.634498670813061	0.761607186447298	1.29667519181586	1.30591900311526	0.956646173415306	0.98950162905756	0.656370656370656	0.6919099756691	1.30804286242148	0.636143714720903	0.806524489427074	0.643222438972953	1.23684991214258	0.853273975143758	1.24390929535232	0.942613679209713	0.608106223325616	0.999927716068718	0.60033596783521	1.57584172162444	0.546569170544353	0.557260341229901
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Colidextribacter|Unassigned	0.177032928124631	0.102823895270101	0.236781721427525	0.18925831202046	0.161993769470405	0.476998092007632	0.562326535537589	0.644305019305019	0.215429845904298	0.160118241162705	0.776513454588896	0.718416772094704	0.363789740074867	0.385659843454052	0.681691708402894	1.44302848575712	0.334313651559711	0.7196853468716	1.15895236488929	0.715997025858508	0.2915654286706	0.713986754314696	1.04332883269915
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Dysosmobacter|Unassigned	0.0873362445414847	0.0401263981541857	0.146462920470634	0.265984654731458	0.186915887850467	0.25439898240407	0.14239169783999	0.156853281853282	0.0608272506082725	0.0936075871412735	0.071678165038975	0.0451834447858305	0.126535561765171	0.333173592569772	0.310703023557781	0.0609070464767616	0.29409546791343	0.0753159083935396	0.14938679131629	0.156968578745904	0.222145088510934	0.0960189083388729	0.0319135878237388
