#OTUID	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
ASV_1306	0	0	0	0	0	1	0	0	0	0	0	1	0	2	3	7	6	3	6	1	2	8	2	1	0	0	0	1	1	2	0	0	0	0	0	2	0	1	0	1	1	0	1	1	0	3	0
ASV_1458	0	0	0	1	7	0	0	1	0	2	0	5	7	0	0	0	0	2	2	3	0	0	0	0	0	2	1	6	7	0	0	0	0	1	0	0	5	0	0	1	0	0	0	1	3	0	0
ASV_889	1	0	1	2	5	0	1	0	0	2	0	0	1	2	3	0	1	0	0	1	5	2	0	0	0	1	0	0	1	4	3	2	0	3	0	0	0	0	0	2	6	0	0	1	3	4	0
ASV_985	3	0	1	0	0	1	0	0	6	0	4	1	0	0	1	0	5	1	1	0	0	0	1	0	7	0	1	2	0	1	0	0	3	3	1	0	0	2	3	0	4	1	1	1	0	1	1
ASV_1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	3	2	1	1	4	1	0	0	3	27	7	3
ASV_1025	1	2	3	3	4	2	0	1	0	2	0	5	1	0	0	2	2	0	0	5	1	0	0	1	1	0	0	6	0	2	1	0	1	2	0	2	0	0	1	0	0	0	0	0	0	4	1
ASV_1066	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	6	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	6	4	5	5	4	1	2	7	2	0
ASV_1080	2	0	0	11	0	0	0	0	3	0	0	3	0	0	0	0	1	0	1	9	0	2	0	1	0	0	0	6	0	0	0	0	2	0	0	11	0	0	0	0	0	0	0	4	0	0	0
ASV_1127	0	0	0	0	0	2	0	0	0	0	0	0	0	1	4	5	4	9	4	5	5	10	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
ASV_1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	4	20	1	19	1	0	0
ASV_1140	3	0	2	0	0	1	4	0	0	1	2	1	0	2	2	0	0	1	1	3	0	2	4	0	2	2	5	0	0	0	1	0	0	1	3	0	0	2	3	0	0	0	1	1	0	1	5
ASV_1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	33	3	2	1	0	0	1	2	0	0	6
ASV_1234	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	4	3	0	1	0	2	0	10	8	1
ASV_1278	2	9	7	1	6	5	1	0	0	1	0	0	1	2	0	3	0	0	0	0	2	0	2	4	0	0	0	0	1	1	1	0	0	0	0	1	2	0	0	1	0	0	0	0	1	2	0
ASV_1349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	10	6	19	1	0	0	2	0	0	4	7
ASV_938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	23	3	3	3	0	2	8	4
ASV_962	1	7	7	3	3	2	2	2	0	0	0	1	1	1	1	1	0	0	2	0	3	0	3	1	0	1	4	0	0	2	0	0	0	0	1	0	1	1	3	0	0	0	1	0	0	0	1
ASV_969	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	3	3	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	9	6	1	1	5	4	5	2	3	4
ASV_978	1	3	1	2	0	1	2	6	0	1	2	0	0	3	0	1	2	1	0	3	1	2	0	4	2	1	1	0	2	2	0	1	2	0	0	0	0	0	0	3	2	0	0	2	1	1	0
ASV_1000	1	1	0	0	0	0	0	0	2	0	2	2	1	2	1	4	1	0	0	0	1	4	0	0	0	0	0	1	6	2	3	1	1	4	0	0	0	2	6	0	0	2	1	1	3	0	0
ASV_1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	51	0	1	0	0	0	0	1	0	0	0
ASV_1078	0	0	13	1	0	0	0	0	0	0	9	0	1	0	0	0	0	0	6	0	0	0	1	0	0	0	11	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	0	2
ASV_1110	1	1	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	5	0	0	1	0	0	0	0	26	1	12
ASV_1134	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	14	1	0	0	0	0	0	0	0	0	5	5	1	0	0	0	0	0	0	0	1	16	5
ASV_1155	0	0	0	0	8	2	0	0	1	0	0	0	10	2	0	0	0	0	0	0	10	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	9	1	0	0	0	1	0	0	3	0	0
ASV_906	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	14	8	2	0	2	5	2	4	3	10
ASV_1028	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	2	5	6	11	2	3	0	2	1	1	1	3	0	0	3	0	0	0	0	0	0	0	1
ASV_1055	0	2	4	1	9	1	1	0	0	1	3	2	1	1	5	0	2	0	0	1	0	0	0	1	1	7	2	2	0	0	1	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1082	0	0	0	0	0	3	0	2	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	6	0	1	0	13	6	7	3	3	0	0	0	1	0	0	0	0	2	1	0	0	0
ASV_1178	2	0	0	0	0	0	0	8	1	0	0	0	0	5	0	10	2	0	0	0	0	3	1	3	0	0	0	0	0	1	0	9	1	0	0	0	2	0	0	5	0	0	1	0	0	0	0
ASV_1192	2	0	0	1	0	2	0	0	2	0	1	1	0	1	3	0	1	0	2	1	1	1	3	2	0	0	2	0	0	0	2	0	0	1	1	0	0	0	2	4	4	3	5	3	1	1	1
ASV_1300	1	1	0	0	0	7	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	6	2	1	1	2	1	1	0	3	0	1	1	0	1	1	0	9	0	0	0	3	0	0	0	6	1
ASV_941	3	0	0	1	1	26	0	1	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_977	1	0	4	0	0	0	2	0	0	0	1	0	1	0	0	2	0	1	0	5	1	0	2	4	0	2	3	1	1	0	0	0	0	0	0	1	4	1	13	1	0	1	0	0	0	1	1
