orig_model	model	color	OTU	X1	X2
212	15	mini_model	#C1C1C1	ASV_243	14.7663468568346	-20.7426452570362
213	16	mini_model	#C1C1C1	ASV_994	-22.4365576512661	-4.07202112369255
214	81	mini_model	#C1C1C1	ASV_272	12.2136813550595	13.2907222679239
215	1	model_1	#9E0142	ASV_221	-16.1063284349289	6.42970846148678
216	58	model_58	#FDD07D	ASV_265	20.5488467799185	0.864552566671705
217	1	model_1	#9E0142	ASV_310	-17.0896061678532	7.14351747761126
218	2	model_2	#E65948	ASV_313	2.3146009869346	-25.7595736454528
219	48	mini_model	#C1C1C1	ASV_287	-15.1166460661552	-18.402075491404
220	58	model_58	#FDD07D	ASV_307	21.0344961990425	-0.0735388089195852
221	81	mini_model	#C1C1C1	ASV_295	12.6907795458122	13.5815376851734
222	23	mini_model	#C1C1C1	ASV_271	-21.0600900808054	-8.66382436207095
223	75	mini_model	#C1C1C1	ASV_318	10.7328212339312	11.0682691288107
224	5	model_5	#D6404E	ASV_407	-11.0832405127319	1.33018636390429
225	2	model_2	#E65948	ASV_336	-0.310813014293839	-23.2878518617157
226	78	mini_model	#C1C1C1	ASV_249	5.18629030866526	-24.0021782025395
227	76	mini_model	#C1C1C1	ASV_317	-20.0351053510005	-5.87015906381843
228	1	model_1	#9E0142	ASV_354	-10.9166758242752	11.2444175063139
229	46	mini_model	#C1C1C1	ASV_351	12.1072753478135	-19.5947971566249
230	1	model_1	#9E0142	ASV_402	-16.1063594988064	2.52848063813903
231	1	model_1	#9E0142	ASV_335	-15.3599266774307	7.67117101125049
232	28	model_28	#EBF7A0	ASV_366	3.32470710656501	-18.9049140367273
233	1	model_1	#9E0142	ASV_242	-1.23684168957787	10.1377280481096
234	5	model_5	#D6404E	ASV_341	-14.249006240745	0.909404900501903
235	84	mini_model	#C1C1C1	ASV_300	-20.8927804825372	-11.5813722575881
236	51	mini_model	#C1C1C1	ASV_302	3.97251601801493	-11.8626324189878
237	74	mini_model	#C1C1C1	ASV_252	10.6627972861837	-5.84820313972602
238	65	mini_model	#C1C1C1	ASV_1454	6.6171198734199	9.75820284787643
239	31	mini_model	#C1C1C1	ASV_270	-22.1035981386562	-12.6509068821149
240	1	model_1	#9E0142	ASV_314	-18.4143412573796	4.58636856643504
241	12	model_12	#50A9AF	ASV_280	5.69941792717918	-16.271483552539
242	4	model_4	#BA2148	ASV_350	-4.72611802897117	-4.41988876889726
243	1	model_1	#9E0142	ASV_339	-14.6681528867844	7.58081181877207
244	1	model_1	#9E0142	ASV_332	-15.2408076662376	8.37077459660889
245	3	model_3	#F47346	ASV_1128	14.8514509771625	-14.4272236203296
246	4	model_4	#BA2148	ASV_246	-6.89236473495608	2.48297679992292
247	1	model_1	#9E0142	ASV_874	-16.5297257940277	6.76509881600668
248	9	model_9	#FDB567	ASV_322	12.2914918899398	0.226696193312578
249	5	model_5	#D6404E	ASV_357	-11.0946873884605	-1.92621102590441
250	68	mini_model	#C1C1C1	ASV_303	18.1628735097867	6.59747158553805
251	89	mini_model	#C1C1C1	ASV_294	-15.0843457727496	-20.6193593130402
