z	module	p	roles	label	role_7
ASV_312	-0.636452511627456	3	0.4765625	Peripherals		peripheral
ASV_377	-0.810843480855588	3	0.444444444444444	Peripherals		peripheral
ASV_351	0.0175136229780388	3	0	Peripherals		ultra peripheral
ASV_129	-0.680050253934489	3	0.444444444444444	Peripherals		peripheral
ASV_141	-0.723647996241522	3	0	Peripherals		ultra peripheral
ASV_416	-0.418463800092291	3	0.444444444444444	Peripherals		peripheral
ASV_414	-0.156877346250093	3	0.444444444444444	Peripherals		peripheral
ASV_342	0.453491046048369	3	0.444444444444444	Peripherals		peripheral
ASV_43	-1.02883219239075	3	0.32	Peripherals		peripheral
ASV_402	-0.374866057785258	3	0.444444444444444	Peripherals		peripheral
ASV_150	-1.02883219239075	3	0.165289256198347	Peripherals		peripheral
ASV_298	-1.07242993469779	3	0.59375	Peripherals		peripheral
ASV_360	-1.07242993469779	3	0	Peripherals		ultra peripheral
ASV_440	-0.767245738548555	3	0.444444444444444	Peripherals		peripheral
ASV_1318	-1.07242993469779	3	0.32	Peripherals		peripheral
ASV_273	-0.11327960394306	3	0	Peripherals		ultra peripheral
ASV_347	-0.985234450083721	3	0.375	Peripherals		peripheral
ASV_352	-0.898038965469655	3	0.152777777777778	Peripherals		peripheral
ASV_1658	-1.15962541931185	3	0.297520661157025	Peripherals		peripheral
