ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96
ASV_86	-4.832	12.906	5.9994866401222e-05	0.00148444351082756	Depleted	0.013	0.364	0.005	0.002	0.007	0.003	0.073	0.013	0.003	0.004	0.01	0.011	0	0.022	0.486	0.564	0.117	0.384	0.396	0.276	0.355	0.767	0.476	0.18	0.272	0.093
ASV_92	3.25	13.343	0.0529501397361852	0.077123029615748	NotSig	0.229	0.024	0.009	0.014	0.007	0.609	0.007	1.039	0.014	0.024	0.313	0.244	0.041	0.424	0.017	0	0.007	0.013	0.007	0.18	0.031	0.005	0.01	0.007	0.006	0.005
ASV_134	-5.793	14.44	0.144414412817275	0.179180845532545	NotSig	0.005	0.294	0.002	0.014	0.002	0.006	0.01	0.002	0.003	0	0	0.015	0.009	0	0.026	0.04	0.662	0.066	2.223	0.042	0.024	0.036	0.023	0.315	0.027	0.043
ASV_113	0.735	12.559	0.0841178688042757	0.111601924948247	NotSig	0.293	0.176	0.394	0.437	0.086	0.488	0.235	0.058	0.129	0.333	0.454	0.17	0.124	0.603	0.019	0.038	0.134	0.253	0.12	0.082	0.348	0.405	0.15	0.062	0.182	0.319
ASV_114	-0.709	12.083	0.0622538014302525	0.0851225448127942	NotSig	0.141	0.231	0.053	0.04	0.17	0.091	0.149	0.285	0.16	0.138	0.098	0.305	0.084	0.122	0.09	0.434	0.124	0.092	0.381	0.048	0.164	0.229	0.383	0.222	0.236	0.368
ASV_78	-2.044	13.946	0.146915710480764	0.180611974352498	NotSig	0.066	0.272	0.018	0.009	0.007	0.017	0.149	0.056	0.006	0	0	0.031	0.276	0.222	0.571	0.113	0.027	0.051	0.479	0.082	0.053	1.578	0.165	0.062	0.072	0.007
ASV_131	2.361	13.757	0.0513881406609538	0.0759823043355364	NotSig	0.363	0.071	1.083	0.116	0.023	0.102	0.05	0.076	0.014	0.659	0.303	0.44	1.385	0.102	0.007	0.015	0.044	0.005	0.057	0.366	0.041	0.265	0.008	0.002	0.021	0.016
ASV_109	2.452	13.519	0.010784198173579	0.025524929634084	Enriched	0.32	0.058	0.38	0.359	0.135	0.102	1.174	0.062	0.28	0.301	0.316	0.054	0.37	0.302	0.024	0.058	0.068	0.041	0.045	0.042	0.056	0.024	0.053	0.086	0.078	0.127
ASV_127	6.731	14.107	0.0133038187551854	0.0278548705186695	Enriched	0.604	0.006	1.765	1.298	0.06	0.157	0.03	0.054	0.05	0.008	1.246	1.576	0.029	0.972	0	0	0	0	0.007	0.037	0.005	0	0	0	0.003	0.016
ASV_104	-3.314	12.734	0.000116721884651059	0.00170065166065122	Depleted	0.028	0.281	0.012	0.002	0.042	0.069	0.066	0.018	0.031	0.053	0.005	0.002	0.029	0.01	0.104	0.293	0.171	0.246	0.416	0.681	0.261	0.212	0.203	0.239	0.367	0.178
