OTU	Group
ASV_1253	HD7
ASV_1253	HD8
ASV_1253	HD9
ASV_1253	MD1
ASV_1253	MD10
ASV_1253	MD11
ASV_1253	MD12
ASV_1253	MD14
ASV_1253	MD4
ASV_1253	MD5
ASV_1253	MD6
ASV_1253	MD7
ASV_1253	MD8
ASV_1253	MD9
ASV_1253	NC10
ASV_1253	NC11
ASV_1253	NC14
ASV_1253	NC4
ASV_1253	NC9
ASV_53	MD12
ASV_53	MD13
ASV_53	MD15
ASV_42	MD11
ASV_42	MD12
ASV_42	MD13
ASV_42	MD14
ASV_42	MD9
ASV_42	NC1
ASV_42	NC10
ASV_42	NC12
ASV_42	NC13
ASV_42	NC14
ASV_42	NC2
ASV_42	NC3
ASV_42	NC4
ASV_42	NC5
ASV_42	NC7
ASV_42	NC9
ASV_45	MD2
ASV_45	MD3
ASV_45	MD4
ASV_45	NC1
ASV_45	NC10
ASV_45	NC12
ASV_45	NC14
ASV_45	NC15
ASV_45	NC2
ASV_45	NC3
ASV_45	NC4
ASV_45	NC5
ASV_45	NC6
ASV_45	NC7
ASV_45	NC8
ASV_45	NC9
ASV_37	HD10
ASV_37	HD11
ASV_37	HD12
ASV_37	HD14
ASV_37	HD15
ASV_37	HD2
ASV_37	HD3
ASV_37	HD4
ASV_37	HD5
ASV_37	HD6
ASV_37	HD7
ASV_37	HD8
ASV_37	HD9
ASV_37	MD1
ASV_37	MD10
ASV_37	MD11
ASV_37	MD12
ASV_37	MD14
ASV_37	MD2
ASV_37	MD3
ASV_37	MD4
ASV_37	MD5
ASV_37	MD6
ASV_37	MD7
