ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	MD1	MD2	MD3	MD4	MD5	MD11	MD12	MD13	MD14	MD15
ASV_16	0.721	13.437	0.435566185386426	0.630516859974697	NotSig	1.602	0.765	1.064	1.617	1.836	1.363	2.131	0.949	2.289	0.027	0.543	0.014
ASV_139	0.531	9.872	0.436861799166147	0.630516859974697	NotSig	0.124	0.066	0.082	0.093	0.158	0.126	0.162	0.132	0.103	0.002	0.088	0.005
ASV_1412	0.56	11.088	0.439051729056205	0.630516859974697	NotSig	0.277	0.12	0.438	0.22	0.337	0.251	0.136	0.261	0.024	0.022	0.243	0.048
ASV_196	-0.515	9.748	0.440485296429009	0.630516859974697	NotSig	0.076	0.074	0.107	0.093	0.082	0.067	0.03	0.086	0.091	0.007	0.168	0.018
ASV_1035	-0.888	10.149	0.443074430587562	0.630516859974697	NotSig	0.083	0.145	0.142	0.03	0.114	0.126	0.002	0.367	0	0.004	0.351	0.005
ASV_62	0.855	9.969	0.44919250906261	0.630516859974697	NotSig	0.164	0.019	0.03	0.732	0.026	0.021	0.009	0.008	0.015	0.04	0.013	0.019
ASV_21	0.756	12.156	0.449441267088519	0.630516859974697	NotSig	0.544	0.304	1.767	0.249	0.392	0.288	0.024	1.212	0.165	0.041	0.066	0.037
ASV_72	-0.589	11.476	0.451427282826004	0.630516859974697	NotSig	0.237	0.136	0.452	0.136	0.176	0.249	0.173	0.193	0.111	0.205	0.132	0.037
ASV_206	-0.972	10.807	0.45315609734396	0.630516859974697	NotSig	0.155	0.222	0.004	0.178	0.02	0.571	0.004	0.166	0.009	0.016	0.918	0
ASV_94	-0.474	9.715	0.456618673466535	0.630516859974697	NotSig	0.082	0.064	0.036	0.086	0.053	0.156	0.076	0.13	0.111	0.022	0.042	0.014
ASV_121	0.629	9.919	0.458292347296423	0.630516859974697	NotSig	0.13	0.03	0.041	0.067	0.073	0.072	0.397	0.058	0.019	0.018	0.018	0.035
